ID_Amostra,Tratamento,PT_g,NFC,MFC_g,NFD,MFD_g,MS_Raiz_gkg,MS_PA_gkg,N_gkg,P_gkg,K_gkg,Ca_gkg,Mg_gkg,S_gkg,pH,Acucar_Total_perc,Acidez_Tit_perc_ac_citrico,Textura_N,Pectina_Total_mg100g,Pectina_Soluvel_mg100g,Solubilidade_mg100g
1705,T2_Trich_Algas,3055.52,11.72,2538.9,26.64,134.28,6.54,23.74,223.82,37.33,123.76,110.41,23.91,29.22,3.43,9.41,1.1,4.02,169.98,68.55,45.04
1706,T2_Trich_Algas,3029.72,11.19,2558.23,25.81,134.5,7.24,23.73,224.43,35.21,125.6,114.94,23.44,28.65,3.7,8.84,1.03,3.41,166.38,70.57,44.38
1707,T2_Trich_Algas,3328.75,12.46,2528.17,24.64,135.81,6.42,23.77,224.18,38.93,124.55,111.66,24.02,28.55,3.45,8.58,1.08,4.01,174.37,71.55,43.61
1708,T2_Trich_Algas,2991.41,11.28,2558.78,23.96,137.47,6.34,24.4,224.22,37.69,125.26,112.18,23.67,28.27,3.54,8.51,1.14,3.81,157.61,69.55,44.71
1709,T2_Trich_Algas,2998.56,12.13,2580.69,26.54,137.84,6.47,23.47,226.73,39.87,125.96,111.55,22.82,30.18,3.57,9.65,1.01,4.16,153.61,70.39,46.49
1710,T2_Trich_Algas,3031.01,12.17,2544.33,24.8,136.82,6.54,23.39,224.93,39.99,123.98,111.92,24.1,30.25,3.46,8.52,1.05,3.6,175.37,70.53,46.15
1711,T2_Trich_Algas,3218.77,11.5,2545.34,27.25,134.86,6.52,23.55,225.27,38.69,124.75,107.79,21.97,30.18,3.48,9.47,1.1,3.91,159.23,69.51,46.13
1712,T2_Trich_Algas,2886.98,12.12,2565.47,25.21,140.02,6.77,24.96,223.91,36.51,125.4,105.81,25.11,30.33,3.55,8.69,1.11,3.52,170.54,68.6,47.69
1713,T2_Trich_Algas,2805.39,12.08,2561.37,24.9,139.63,6.68,23.63,225.15,36.38,124.86,114.79,23.1,29.5,3.48,9.69,1.1,3.53,157.67,73.45,45.57
1714,T2_Trich_Algas,3335.42,11.77,2552.12,29.99,140.54,7.19,23.82,224.97,35.96,124.47,108.33,22.24,27.93,3.53,9.9,1.1,4.38,166.14,69.68,47.59
1715,T2_Trich_Algas,2979.88,11.57,2533.56,26.33,133.57,6.48,23.69,223.64,39.7,125.47,110.72,21.97,30.49,3.5,9.65,1.15,3.78,160.26,67.89,45.6
1716,T2_Trich_Algas,2869.06,11.54,2551.94,26.15,133.93,6.75,24.55,224.82,37.75,123.94,110.12,23.04,30.28,3.52,9.51,1.13,3.89,168.83,68.96,47.19
1717,T2_Trich_Algas,3029.31,11.8,2568.01,24.47,135.99,6.51,23.95,225.79,38.59,124.48,113.92,22.71,28.65,3.39,7.46,0.98,4.16,154.61,69.3,44.22
1718,T2_Trich_Algas,2998.57,11.79,2559.08,27.36,132.71,6.2,22.83,224.47,36.16,124.76,106.52,23.0,29.04,3.5,8.69,1.09,4.45,167.61,65.09,45.5
1719,T2_Trich_Algas,3153.5,11.0,2547.64,24.15,129.5,6.58,23.91,225.36,38.48,126.98,112.73,22.37,29.8,3.42,10.35,1.2,3.32,159.79,68.17,45.13
1720,T2_Trich_Algas,3214.72,11.07,2566.63,26.23,134.95,6.53,23.37,223.4,39.72,123.91,117.99,23.95,28.3,3.44,8.92,1.08,3.45,167.34,72.02,44.4
1721,T2_Trich_Algas,3236.09,12.7,2554.72,26.61,129.5,6.47,23.93,223.34,33.93,125.18,109.52,22.27,30.53,3.46,10.13,1.16,3.56,172.79,73.05,45.4
1722,T2_Trich_Algas,3060.94,11.92,2558.96,24.74,133.86,6.86,24.46,223.31,39.48,125.78,112.77,22.79,30.05,3.48,8.63,1.14,3.51,164.87,69.9,44.6
1723,T2_Trich_Algas,2945.17,12.09,2560.99,28.91,132.04,6.41,24.12,225.05,37.11,122.9,111.15,23.84,30.11,3.42,9.89,1.06,3.5,158.92,71.65,44.2
1724,T2_Trich_Algas,3105.53,11.89,2567.98,28.08,134.15,6.23,23.57,224.52,37.33,125.05,108.7,23.01,29.8,3.58,9.33,1.01,3.69,160.83,67.9,46.02
1725,T2_Trich_Algas,2976.17,12.14,2567.7,25.13,134.03,6.76,23.55,224.71,36.17,125.85,112.56,22.26,29.17,3.47,8.93,1.07,4.26,156.98,68.78,44.45
1726,T2_Trich_Algas,2985.58,11.85,2567.98,26.1,137.62,6.43,24.07,226.12,37.32,126.87,115.93,24.6,28.85,3.34,8.87,1.13,4.0,165.43,67.71,45.97
1727,T2_Trich_Algas,3052.29,12.26,2542.8,25.18,136.71,6.97,24.27,223.1,39.23,127.07,110.13,23.84,28.46,3.58,8.7,1.15,3.84,169.49,68.73,45.83
1728,T2_Trich_Algas,2763.5,12.21,2560.92,23.26,135.58,6.72,24.16,224.28,36.73,124.73,110.82,24.21,29.58,3.48,8.68,1.11,4.19,165.35,72.57,47.17
1729,T2_Trich_Algas,2901.7,12.11,2559.63,24.82,135.84,6.55,22.67,224.19,39.39,123.49,113.72,22.69,29.79,3.45,9.44,1.16,4.32,162.75,71.35,46.59
1730,T2_Trich_Algas,2745.98,11.27,2529.69,27.41,134.77,6.73,24.56,224.24,38.44,124.39,109.65,23.93,29.34,3.49,9.34,1.21,3.67,169.75,68.11,43.29
1731,T2_Trich_Algas,3190.52,11.35,2568.46,26.19,137.67,6.65,23.73,223.84,38.47,124.36,108.5,23.71,29.75,3.48,9.04,1.06,3.88,163.88,72.72,46.78
1732,T2_Trich_Algas,2770.26,11.89,2574.73,25.67,138.68,6.42,22.07,223.72,38.29,126.91,107.32,23.14,29.93,3.61,8.82,1.13,4.1,156.22,72.09,45.82
1733,T2_Trich_Algas,3046.38,12.22,2562.07,29.57,131.58,6.72,23.07,222.5,40.41,122.67,108.19,22.93,28.59,3.46,8.52,1.13,4.14,166.51,71.07,47.47
1734,T2_Trich_Algas,2684.39,12.34,2548.8,24.22,133.35,6.44,23.71,225.33,37.71,125.2,115.94,24.16,29.4,3.53,9.26,1.05,4.06,162.99,68.23,46.31
1735,T2_Trich_Algas,2972.28,12.14,2583.18,24.32,135.33,6.93,22.45,224.98,35.59,125.33,104.67,22.67,29.78,3.49,8.25,1.1,3.57,155.3,70.96,46.78
1736,T2_Trich_Algas,3019.54,11.32,2530.77,25.85,139.39,6.6,23.12,224.17,40.48,125.37,108.72,21.86,29.46,3.61,9.35,1.04,4.22,160.98,68.71,45.82
1737,T2_Trich_Algas,3102.82,10.45,2548.1,24.64,131.99,7.02,23.09,224.5,38.75,126.05,110.38,24.36,28.89,3.53,10.32,1.11,3.68,160.93,69.62,46.88
1738,T2_Trich_Algas,2915.12,12.02,2572.52,26.27,135.33,6.52,24.58,223.96,38.15,123.44,111.37,23.12,30.39,3.39,9.8,1.1,3.9,162.67,66.48,44.72
1739,T2_Trich_Algas,3140.5,10.77,2579.66,30.3,135.66,6.32,22.57,225.51,34.44,123.07,111.58,23.74,30.03,3.45,8.98,1.15,3.58,164.9,69.85,49.23
1740,T2_Trich_Algas,2998.4,11.98,2563.54,24.85,133.65,6.28,23.95,224.25,38.16,125.06,112.45,23.64,29.59,3.67,8.51,1.07,3.37,157.39,69.67,44.62
1741,T2_Trich_Algas,2918.71,12.21,2583.18,25.03,133.75,7.04,23.98,225.11,36.32,123.69,106.21,23.15,29.5,3.6,9.45,1.1,3.86,160.03,68.1,45.44
1742,T2_Trich_Algas,3230.22,11.77,2558.88,25.46,132.68,6.54,23.95,223.76,41.21,124.82,115.21,23.76,28.27,3.55,8.67,1.19,3.59,154.94,70.17,47.0
1743,T2_Trich_Algas,3245.46,11.26,2543.76,24.29,133.87,6.53,23.61,224.2,36.61,123.78,108.73,23.22,29.45,3.61,9.15,1.08,4.12,167.74,67.07,47.86
1744,T2_Trich_Algas,3180.67,11.79,2569.18,23.83,136.46,6.94,23.12,223.41,38.59,124.39,110.31,23.01,30.02,3.51,8.88,0.93,4.02,159.42,67.01,47.71
1745,T2_Trich_Algas,3151.05,11.29,2545.62,25.66,135.51,6.59,22.73,225.61,35.66,124.08,107.4,23.53,28.72,3.56,10.13,1.07,4.54,160.35,71.05,45.59
1746,T2_Trich_Algas,2803.56,11.98,2565.56,28.3,132.64,6.34,24.04,224.09,37.24,126.24,110.53,22.5,28.78,3.47,9.09,1.19,3.91,167.78,68.49,44.24
1747,T2_Trich_Algas,2847.71,12.79,2573.51,24.36,136.19,6.54,22.69,224.52,38.34,124.26,112.73,23.49,31.12,3.49,8.65,0.92,3.99,163.81,73.6,46.85
1748,T2_Trich_Algas,3166.31,12.58,2575.85,26.58,139.18,6.44,22.76,225.34,37.03,124.48,109.64,24.03,28.16,3.32,8.87,1.07,3.86,162.66,71.71,45.54
1749,T2_Trich_Algas,3145.71,12.22,2595.73,27.65,137.23,6.42,23.99,223.43,40.32,124.1,109.68,23.39,28.25,3.69,9.0,1.07,4.07,168.91,70.31,44.98
1750,T2_Trich_Algas,3126.14,11.57,2573.92,29.7,134.72,7.09,23.85,224.86,39.21,125.82,108.33,22.92,29.59,3.57,9.07,1.11,3.81,160.88,71.08,43.81
1751,T2_Trich_Algas,3035.87,11.4,2545.39,26.57,135.47,6.74,23.66,223.92,38.23,125.43,112.87,22.76,29.16,3.4,8.86,1.1,3.84,159.75,70.93,46.36
1752,T2_Trich_Algas,3277.33,11.79,2553.91,23.15,132.78,6.17,23.48,223.44,36.99,124.55,110.07,23.44,27.65,3.5,10.19,1.09,3.55,164.79,68.63,44.93
1753,T2_Trich_Algas,3051.01,11.82,2569.99,24.19,135.86,6.76,24.2,225.46,37.39,124.75,110.34,23.04,28.31,3.43,8.98,0.97,3.45,159.77,72.62,45.77
1754,T2_Trich_Algas,2875.91,12.02,2592.06,26.09,135.47,6.44,23.27,224.63,40.57,125.86,108.01,22.2,29.09,3.38,10.46,1.1,3.27,166.93,70.54,44.71
1755,T2_Trich_Algas,3070.73,11.56,2578.41,25.85,134.55,6.84,23.1,224.41,39.71,122.91,108.67,23.53,29.3,3.57,8.61,1.06,4.17,164.71,69.18,45.38
1756,T2_Trich_Algas,2922.81,11.43,2559.67,24.57,132.11,6.25,24.49,223.72,41.56,126.08,110.63,23.78,29.64,3.5,9.26,1.07,3.53,171.07,68.19,47.45
1757,T2_Trich_Algas,3210.47,12.4,2540.35,25.8,135.63,6.46,24.21,225.78,38.91,124.4,112.33,24.24,29.4,3.5,8.97,1.11,4.15,162.3,67.97,46.76
1758,T2_Trich_Algas,2943.74,12.44,2562.15,25.67,137.5,7.2,22.68,224.46,40.36,125.49,108.45,24.07,28.13,3.42,9.07,1.1,4.04,162.12,64.68,47.58
1759,T2_Trich_Algas,2750.92,12.45,2588.1,24.55,138.13,6.14,23.58,225.17,36.99,122.9,109.13,24.08,29.12,3.54,8.68,1.12,4.49,169.7,67.21,45.66
1760,T2_Trich_Algas,2873.26,12.4,2561.08,26.62,134.63,6.98,22.99,223.2,37.22,124.6,108.67,24.24,28.77,3.52,8.74,1.08,3.29,161.17,70.27,44.74
1761,T2_Trich_Algas,2936.17,11.9,2570.18,24.46,130.34,6.45,24.3,225.86,39.58,125.49,113.94,22.65,28.49,3.57,8.87,1.13,4.12,164.4,68.0,43.34
1762,T2_Trich_Algas,2955.64,12.89,2546.06,28.02,132.4,6.8,23.99,223.95,37.15,125.0,110.05,22.58,28.85,3.58,10.14,1.13,3.58,159.77,71.48,44.79
1763,T2_Trich_Algas,3077.95,11.77,2550.05,27.13,130.63,6.32,23.18,225.37,39.55,123.92,113.68,21.85,29.18,3.69,8.47,1.02,4.17,161.63,70.68,47.86
1764,T2_Trich_Algas,3154.93,11.63,2523.08,29.98,133.94,6.56,24.15,224.24,38.76,123.26,107.82,22.27,30.64,3.44,9.12,1.11,4.46,167.33,71.17,44.55
1765,T2_Trich_Algas,3311.19,12.24,2531.27,27.74,135.04,6.81,23.64,224.28,37.04,127.4,110.98,23.58,28.05,3.48,7.81,1.17,3.66,160.69,68.33,46.85
1766,T2_Trich_Algas,3004.99,12.33,2571.23,26.68,135.71,6.6,22.98,225.06,39.0,127.23,119.21,21.84,29.04,3.38,8.88,1.08,3.75,164.49,68.08,46.16
1767,T2_Trich_Algas,3379.49,11.83,2560.4,27.98,137.8,6.45,23.5,225.02,37.82,124.41,104.92,23.74,28.78,3.49,10.29,1.05,4.17,162.16,69.37,45.33
1768,T2_Trich_Algas,3192.54,11.94,2542.96,28.72,128.79,6.79,23.81,224.47,38.89,124.95,110.53,23.24,28.88,3.69,8.47,1.14,4.25,163.33,68.67,45.54
1769,T2_Trich_Algas,3252.7,12.2,2560.63,25.16,139.87,6.6,23.05,224.15,38.82,124.8,112.29,23.68,28.95,3.54,9.03,1.07,3.43,171.01,72.92,48.06
1770,T2_Trich_Algas,2887.22,13.29,2553.25,27.73,129.58,6.3,23.14,224.98,37.14,125.59,108.89,22.58,27.81,3.61,9.22,1.03,3.91,169.89,68.93,44.99
1771,T2_Trich_Algas,2957.7,11.8,2554.21,25.0,134.37,6.3,25.01,224.72,38.71,124.56,111.8,23.14,31.59,3.58,8.72,1.02,3.36,154.09,68.97,44.37
1772,T2_Trich_Algas,3209.26,11.84,2545.42,24.56,135.4,6.88,23.94,223.51,39.97,122.3,111.48,22.32,28.68,3.62,9.43,1.12,4.21,155.38,68.45,44.07
1773,T2_Trich_Algas,3092.52,11.78,2549.75,25.58,134.91,6.22,24.16,224.76,39.23,124.71,112.62,24.58,27.8,3.46,9.33,1.16,4.29,172.5,69.02,45.38
1774,T2_Trich_Algas,3507.74,11.7,2555.56,24.56,135.07,6.69,22.75,224.9,39.57,124.1,109.24,22.8,29.65,3.62,8.92,1.1,3.83,170.82,69.18,43.83
1775,T2_Trich_Algas,3034.08,12.02,2557.14,25.39,135.39,7.29,23.56,224.74,39.8,126.03,112.32,22.5,29.19,3.53,9.1,1.02,3.92,170.65,67.23,45.46
1776,T2_Trich_Algas,3291.76,11.51,2543.77,26.21,137.17,6.58,23.98,224.37,38.13,125.68,112.58,23.43,28.4,3.67,8.27,1.06,3.71,154.29,67.47,45.56
1777,T2_Trich_Algas,3228.85,12.16,2531.14,29.36,132.23,6.92,23.73,223.94,39.94,125.94,117.09,23.69,30.67,3.47,8.32,1.07,3.56,174.47,70.12,46.2
1778,T2_Trich_Algas,3092.59,11.94,2567.99,27.35,133.48,6.5,23.54,224.53,39.62,124.21,111.21,21.65,29.71,3.56,9.79,1.03,4.3,163.89,69.08,45.39
1779,T2_Trich_Algas,2980.63,11.96,2549.63,26.11,138.99,5.96,24.25,225.69,37.58,126.37,112.87,22.17,29.79,3.48,9.57,1.21,3.71,172.68,72.42,47.8
1780,T2_Trich_Algas,3228.25,11.42,2524.73,27.37,138.75,6.58,24.24,224.55,38.29,124.97,111.66,22.64,29.17,3.52,9.04,1.16,3.24,164.37,71.97,42.43
1781,T2_Trich_Algas,2793.15,12.18,2560.93,29.3,134.28,6.3,23.55,224.92,37.56,125.0,110.07,23.21,28.23,3.54,8.2,1.01,3.57,165.22,68.61,45.07
1782,T2_Trich_Algas,3034.77,12.02,2534.67,27.32,135.2,6.62,24.67,225.6,39.69,124.25,106.53,22.88,31.06,3.51,9.53,1.1,4.18,161.6,70.08,46.22
1783,T2_Trich_Algas,3234.07,12.39,2549.54,27.33,131.29,6.96,23.79,225.65,38.05,125.85,113.61,22.7,30.17,3.48,9.48,1.05,4.4,171.81,68.45,45.39
1784,T2_Trich_Algas,2866.34,12.09,2577.0,28.24,134.36,6.37,23.2,225.17,38.96,123.46,111.91,23.27,28.97,3.52,7.98,1.06,3.6,167.76,73.71,45.88
1785,T2_Trich_Algas,3050.31,11.51,2551.26,26.1,130.28,6.43,24.07,224.04,38.7,124.53,109.57,23.63,29.22,3.52,8.93,1.11,4.52,158.06,70.17,46.49
1786,T2_Trich_Algas,3269.05,11.15,2583.96,23.93,133.05,6.6,24.53,225.51,37.69,123.81,111.93,24.61,28.55,3.45,9.21,1.06,4.06,160.79,69.1,44.81
1787,T2_Trich_Algas,3073.13,11.14,2558.2,24.97,135.49,6.09,23.6,224.94,38.57,124.04,109.89,24.67,29.12,3.48,9.02,1.05,3.94,161.48,73.32,44.96
1788,T2_Trich_Algas,2940.0,11.63,2574.32,28.19,136.87,6.92,24.03,223.73,38.13,124.21,112.43,23.83,28.41,3.53,8.96,1.2,4.36,157.11,71.65,46.42
1789,T2_Trich_Algas,3262.09,11.69,2562.16,26.51,138.28,6.73,23.65,224.74,36.75,121.79,113.61,23.75,29.66,3.42,9.77,1.15,4.2,159.32,68.57,45.82
1790,T2_Trich_Algas,3126.32,11.68,2536.34,27.63,136.31,6.56,22.67,223.95,36.5,124.91,112.64,23.86,28.81,3.61,8.97,1.06,3.83,166.95,70.53,48.29
1791,T2_Trich_Algas,3011.04,12.71,2532.85,26.31,134.71,6.25,22.97,225.19,39.13,126.17,108.64,25.35,28.87,3.58,8.21,1.14,3.5,174.17,69.91,47.11
1792,T2_Trich_Algas,2945.1,11.89,2545.03,28.94,132.64,6.03,23.72,225.23,35.99,124.25,114.42,22.85,30.79,3.56,9.7,1.0,3.73,161.71,70.49,45.43
1793,T2_Trich_Algas,3204.71,12.08,2551.15,24.97,131.53,7.01,23.79,223.74,39.12,124.67,108.73,23.66,28.8,3.42,9.63,1.01,4.32,163.08,70.48,48.03
1794,T2_Trich_Algas,3124.41,11.79,2539.37,26.8,130.69,6.75,23.63,224.89,38.26,125.02,118.62,24.37,29.47,3.49,8.4,1.12,3.99,184.58,73.17,44.62
1795,T2_Trich_Algas,2991.72,12.13,2581.04,26.64,131.4,6.54,24.05,224.77,39.0,126.72,109.94,21.74,29.12,3.44,8.88,1.07,3.66,164.09,67.06,48.9
1796,T2_Trich_Algas,3249.67,11.8,2557.43,27.81,137.3,6.6,24.21,226.74,37.71,124.12,109.3,23.02,28.46,3.41,8.62,1.06,4.36,157.37,67.73,47.86
1797,T2_Trich_Algas,2929.76,11.17,2567.44,25.35,134.58,6.5,23.26,224.12,37.74,123.27,112.87,23.33,29.8,3.52,8.92,1.12,3.51,164.15,66.99,44.26
1798,T2_Trich_Algas,3139.41,11.56,2555.51,25.46,134.42,6.38,24.47,224.06,39.83,124.85,110.41,22.25,29.57,3.51,8.56,0.98,4.75,161.85,69.08,45.23
1799,T2_Trich_Algas,3238.89,11.37,2556.53,27.93,139.41,6.34,24.57,225.3,39.51,126.82,111.66,23.78,28.74,3.53,9.17,1.02,3.85,170.77,68.71,47.2
1800,T2_Trich_Algas,3316.28,11.55,2566.69,27.85,132.92,6.67,24.31,225.29,37.38,124.91,112.25,23.44,28.22,3.61,8.9,0.98,4.1,165.71,72.28,46.77
1801,T2_Trich_Algas,2944.03,11.16,2557.55,26.14,133.45,6.83,24.28,224.79,39.15,125.74,109.81,24.41,29.05,3.39,8.9,1.1,3.63,172.47,72.66,44.91
1802,T2_Trich_Algas,2857.86,10.95,2550.61,27.28,135.01,6.77,23.37,224.75,36.07,126.08,114.13,23.92,30.25,3.4,9.09,1.05,3.46,165.57,69.7,45.94
1803,T2_Trich_Algas,2777.1,10.97,2550.03,23.9,131.86,6.87,23.69,225.41,38.96,125.48,114.89,23.09,30.79,3.47,8.9,0.93,3.76,166.99,71.01,45.74
1804,T2_Trich_Algas,3048.43,11.04,2561.91,27.34,133.33,6.38,23.48,223.86,36.07,125.3,108.25,23.52,30.22,3.55,9.36,1.07,3.03,169.34,71.12,46.13
1805,T2_Trich_Algas,2800.41,11.82,2549.03,25.78,138.99,7.0,23.75,224.86,37.81,125.03,111.43,24.43,29.6,3.4,9.06,1.1,4.68,163.94,70.29,47.22
1806,T2_Trich_Algas,3051.12,11.95,2570.04,26.19,132.16,6.73,24.2,222.88,37.74,125.83,110.57,21.6,29.37,3.59,10.36,1.12,3.7,155.03,69.72,48.5
1807,T2_Trich_Algas,3319.9,11.74,2591.9,27.94,132.94,6.16,23.77,224.95,39.78,123.94,112.19,23.49,29.3,3.41,9.46,1.05,3.65,161.14,72.53,45.16
1808,T2_Trich_Algas,3057.03,11.85,2538.08,26.72,132.24,6.19,23.63,222.99,38.92,124.61,116.84,23.29,29.09,3.51,9.54,1.08,4.14,165.2,74.9,47.04
1809,T2_Trich_Algas,3272.82,11.67,2560.19,26.17,134.05,5.97,24.78,223.57,36.45,124.71,112.84,23.23,30.4,3.37,8.6,1.09,3.15,168.68,69.89,46.18
1810,T2_Trich_Algas,3010.22,11.39,2558.23,29.13,132.92,6.61,23.38,225.17,37.41,125.97,108.95,23.96,29.44,3.55,9.32,1.16,3.93,166.67,69.29,48.1
1811,T2_Trich_Algas,2973.24,11.32,2566.67,26.41,141.5,6.77,24.66,222.67,36.6,126.14,108.65,22.91,28.41,3.56,8.99,1.06,3.93,173.0,71.91,48.02
1812,T2_Trich_Algas,3006.06,11.83,2597.82,28.64,132.44,6.27,23.75,224.7,37.63,126.05,111.99,22.95,28.62,3.56,10.32,1.08,4.05,167.17,71.01,46.67
1813,T2_Trich_Algas,3274.99,11.64,2563.34,28.52,134.34,7.11,23.76,225.54,38.43,124.39,106.93,22.24,28.16,3.36,9.06,1.09,3.44,170.74,69.8,47.89
1814,T2_Trich_Algas,2958.16,11.89,2540.66,25.84,136.16,6.55,23.45,224.2,38.39,125.8,111.43,23.95,28.54,3.46,9.33,1.11,3.84,155.08,71.22,46.97
1815,T2_Trich_Algas,3032.46,11.75,2543.36,24.18,138.78,6.48,24.49,224.87,38.68,124.97,109.83,23.45,27.27,3.65,9.02,1.1,3.45,167.32,72.95,46.63
1816,T2_Trich_Algas,2914.55,12.12,2567.2,29.16,132.08,6.69,23.9,225.62,38.07,123.74,110.03,24.3,29.38,3.51,8.55,1.03,3.91,170.35,70.6,43.92
1817,T2_Trich_Algas,2823.16,11.99,2578.1,26.47,139.33,6.77,23.01,224.59,37.96,124.44,106.45,23.47,29.09,3.39,8.99,0.95,4.16,162.59,67.38,46.41
1818,T2_Trich_Algas,2888.17,12.12,2579.02,26.31,131.18,6.43,22.76,224.96,38.87,123.66,109.58,23.37,29.44,3.42,8.37,1.05,3.89,167.11,72.99,47.06
1819,T2_Trich_Algas,3100.48,11.98,2542.33,28.51,137.59,6.18,24.15,223.36,38.09,124.24,114.0,23.37,27.75,3.39,8.58,1.1,2.96,165.93,70.15,45.81
1820,T2_Trich_Algas,3090.76,12.12,2578.35,23.55,132.89,6.27,23.47,223.75,38.38,124.43,108.92,23.43,29.26,3.51,9.04,1.1,4.01,163.47,69.03,45.01
1821,T2_Trich_Algas,2959.66,12.17,2566.33,26.62,132.13,6.21,23.62,224.23,37.99,125.99,111.32,23.44,28.11,3.53,9.99,1.14,3.88,170.13,68.1,44.37
1822,T2_Trich_Algas,2945.94,11.27,2544.72,26.98,135.88,6.32,24.26,224.18,38.51,123.84,111.15,23.01,28.82,3.48,8.88,1.21,3.99,161.52,73.16,44.96
1823,T2_Trich_Algas,2833.04,12.6,2525.92,31.31,132.92,6.45,24.13,223.96,40.49,125.77,113.4,22.84,28.25,3.43,9.36,1.2,3.92,167.08,66.57,47.98
1824,T2_Trich_Algas,2761.46,11.18,2565.72,26.49,136.16,6.56,23.77,224.14,38.07,126.45,105.66,24.0,29.69,3.5,9.82,1.13,4.02,159.1,70.68,49.09
1825,T2_Trich_Algas,2694.25,12.08,2557.34,24.03,133.38,6.56,23.91,225.83,39.1,125.76,111.54,22.86,27.37,3.45,9.07,1.14,4.05,170.44,71.8,44.67
1826,T2_Trich_Algas,3098.03,12.47,2574.82,28.12,133.39,6.47,23.15,224.5,39.46,125.43,106.91,22.27,30.52,3.58,8.03,0.99,3.65,164.82,67.93,47.06
1827,T2_Trich_Algas,3062.72,12.08,2583.43,27.73,133.87,6.24,23.18,223.59,38.31,123.55,109.33,24.08,28.67,3.54,8.58,1.07,3.92,171.63,70.93,45.72
1828,T2_Trich_Algas,2919.09,11.9,2564.16,23.62,140.15,6.42,22.25,222.28,39.72,124.31,115.08,23.33,28.61,3.47,8.75,1.16,4.06,159.72,67.04,47.98
1829,T2_Trich_Algas,2961.11,12.06,2577.61,28.74,134.49,6.59,23.84,225.43,36.19,123.12,112.03,23.93,29.91,3.38,7.98,1.06,4.4,165.02,70.78,46.86
1830,T2_Trich_Algas,2864.0,12.26,2545.56,24.71,137.66,6.23,24.1,224.29,37.04,123.91,106.23,23.65,30.13,3.53,9.19,0.98,4.14,165.88,77.0,43.66
1831,T2_Trich_Algas,2920.98,13.0,2558.03,28.01,134.62,6.91,23.96,224.0,38.62,124.02,108.24,23.67,28.96,3.48,9.45,0.99,3.46,170.7,71.82,47.93
1832,T2_Trich_Algas,2921.98,11.68,2555.32,26.06,138.7,6.49,24.28,224.69,38.08,124.29,112.85,23.07,29.89,3.65,10.47,1.15,4.41,154.29,73.65,45.86
1833,T2_Trich_Algas,3011.97,11.92,2565.01,23.7,136.83,6.55,24.25,223.47,37.74,122.82,113.43,23.57,28.64,3.42,9.11,1.03,3.88,165.03,70.75,44.95
1834,T2_Trich_Algas,3348.04,12.05,2570.92,24.82,132.36,6.85,23.16,224.99,39.91,123.48,108.29,23.65,30.04,3.41,9.5,0.96,4.23,164.79,71.24,45.54
1835,T2_Trich_Algas,3153.58,11.96,2570.62,24.74,129.85,6.88,23.99,224.94,36.18,124.83,108.26,23.54,30.87,3.55,9.79,1.12,3.44,160.72,65.92,44.32
1836,T2_Trich_Algas,2856.12,11.89,2546.68,27.09,131.0,6.5,24.81,225.66,39.37,124.56,114.94,22.42,26.95,3.4,8.67,1.11,4.03,166.42,68.21,48.04
1837,T2_Trich_Algas,2898.94,11.88,2568.61,25.22,136.53,6.83,23.53,224.14,36.89,125.55,110.89,23.35,28.87,3.5,9.64,1.05,3.75,160.81,68.35,48.3
1838,T2_Trich_Algas,3015.54,12.24,2526.94,28.2,133.06,6.5,22.25,224.09,38.06,123.8,110.48,23.07,29.64,3.54,10.48,1.15,3.4,163.51,68.92,43.69
1839,T2_Trich_Algas,3071.13,11.52,2554.26,23.54,137.21,6.73,23.91,222.29,37.83,124.65,113.25,23.33,28.48,3.41,8.63,1.12,3.93,169.97,73.18,46.97
1840,T2_Trich_Algas,3050.8,11.5,2548.63,25.77,134.7,6.57,23.5,224.14,35.52,122.54,110.45,24.44,29.59,3.48,9.74,1.14,4.02,168.59,69.44,45.0
1841,T2_Trich_Algas,3170.45,11.43,2560.82,25.96,136.08,6.33,23.31,224.69,39.49,124.95,107.6,23.07,27.9,3.38,9.15,1.06,3.09,167.06,70.87,44.97
1842,T2_Trich_Algas,2856.46,11.05,2564.01,28.38,132.66,6.92,23.79,224.65,37.95,124.56,107.89,22.5,29.52,3.37,8.6,1.04,4.0,172.26,67.18,46.74
1843,T2_Trich_Algas,3169.13,11.92,2571.78,29.26,137.08,6.41,24.46,223.22,36.66,122.79,111.77,22.94,28.76,3.53,8.91,0.96,4.05,166.6,69.42,46.61
1844,T2_Trich_Algas,3166.68,11.8,2530.78,26.26,131.32,6.31,23.69,223.79,38.92,123.96,109.43,22.45,28.94,3.53,8.85,1.08,4.03,166.93,68.57,45.52
1845,T2_Trich_Algas,2993.39,11.74,2533.26,26.4,129.61,6.53,24.08,223.27,37.68,122.02,110.1,22.28,29.2,3.61,9.54,1.0,3.74,158.68,67.94,48.16
1846,T2_Trich_Algas,3164.89,12.03,2569.47,25.88,129.98,6.56,23.08,223.71,35.7,125.21,110.51,23.6,29.78,3.44,8.81,1.07,4.33,171.38,71.29,44.33
1847,T2_Trich_Algas,2660.32,11.85,2570.17,28.23,137.36,6.75,23.27,224.07,39.94,125.19,107.04,23.42,27.52,3.48,8.55,1.1,3.5,168.0,70.44,45.66
